Level,Message,Options
1,"Welcome, How I can assist you?","Pre-Sale, Post-Sale"
2,Tell us what you are looking for,"Residential, Commercial, Industrial, Land"
3,Tell us your budget range,"Below ₹30 lakhs, ₹30 lakhs - ₹50 lakhs, ₹50 lakhs - ₹70 lakhs, Above ₹70 lakhs"
4,What is your preferred location?,"City center, Suburbs, Near workplace/school, Doesn’t matter"
5,When do you plan to finalize?,"Within a month, 1-3 months, 3-6 months, More than 6 months"
6,Can you tell us the size you are looking for?,"Less than 500 sq. ft., 500-800 sq. ft., 800-1200 sq. ft., More than 1200 sq. ft."
7,Tell us about the amenities which are most important to you,"Gym, Swimming pool, 24/7 security, Clubhouse, Kid's Play Area"
8,Select the preferred type of property:,"Ready-to-move, Under-construction"
9,How satisfied are you with the property buying process,"Very satisfied, Satisfied, Neutral, Dissatisfied"
10,Did the property meet your expectations?,"Exceeded expectations, Met expectations, Somewhat met expectations, Did not meet expectations"
11,Delivery timeline adhered to,"Yes-on time, Slight delay, Significant delay"
12,Rate the clarity of the documentation provided,"Excellent, Good, Average, Poor"
13,How would you rate our sales team?,"Very responsive, Responsive, Neutral, Not Responsive"
14,Are the amenities functional as promised?,"All amenities are functional, Most amenities are functional, Few amenities are functional, None of the amenities are functional"
